,Accuracy,ChoseViolation,Item,Permutation,ReactionTime,Segment,Subject,TestedOn,TrainedOn,TrialNumber,Violates,ViolationPosition
34181,0.5,1,301,1,3230,d,A2SNMMSKX224GR,*DF,PlaceAssimilation,115,Voicing,1
34183,0.5,1,298,1,2668,d,A2SNMMSKX224GR,*DF,PlaceAssimilation,117,Voicing,0
34184,0.5,0,388,1,2582,n,A2SNMMSKX224GR,*NF,PlaceAssimilation,118,Place,0
34263,0.35,0,355,0,2095,ng,A2SYRFPPV9WDEG,*NF,Devoicing,70,Place,0
34264,0.35,1,334,0,1593,b,A2SYRFPPV9WDEG,*DF,Devoicing,71,Voicing,0
34265,0.35,1,352,0,3247,n,A2SYRFPPV9WDEG,*NF,Devoicing,72,Place,0
34266,0.35,1,313,0,2336,d,A2SYRFPPV9WDEG,*DF,Devoicing,73,Voicing,0
34268,0.35,0,319,0,4493,b,A2SYRFPPV9WDEG,*DF,Devoicing,75,Voicing,1
34269,0.35,1,379,0,1150,ng,A2SYRFPPV9WDEG,*NF,Devoicing,76,Place,0
34271,0.35,0,397,0,1149,ng,A2SYRFPPV9WDEG,*NF,Devoicing,78,Place,1
34272,0.35,1,295,0,1186,d,A2SYRFPPV9WDEG,*DF,Devoicing,79,Voicing,0
34273,0.35,0,373,0,1998,ng,A2SYRFPPV9WDEG,*NF,Devoicing,80,Place,0
34274,0.35,0,337,0,1365,b,A2SYRFPPV9WDEG,*DF,Devoicing,81,Voicing,1
34275,0.35,0,394,0,1561,n,A2SYRFPPV9WDEG,*NF,Devoicing,82,Place,0
34276,0.35,1,304,0,1242,d,A2SYRFPPV9WDEG,*DF,Devoicing,83,Voicing,0
34278,0.35,0,316,0,1085,b,A2SYRFPPV9WDEG,*DF,Devoicing,85,Voicing,1
34279,0.35,0,358,0,1032,n,A2SYRFPPV9WDEG,*NF,Devoicing,86,Place,1
34280,0.35,0,289,0,1720,d,A2SYRFPPV9WDEG,*DF,Devoicing,87,Voicing,1
34281,0.35,0,388,0,1306,n,A2SYRFPPV9WDEG,*NF,Devoicing,88,Place,1
34282,0.35,0,331,0,1114,b,A2SYRFPPV9WDEG,*DF,Devoicing,89,Voicing,1
34283,0.35,1,367,0,990,ng,A2SYRFPPV9WDEG,*NF,Devoicing,90,Place,1
34285,0.35,1,385,0,870,ng,A2SYRFPPV9WDEG,*NF,Devoicing,92,Place,0
34286,0.35,1,328,0,915,b,A2SYRFPPV9WDEG,*DF,Devoicing,93,Voicing,0
34287,0.35,0,391,0,1537,ng,A2SYRFPPV9WDEG,*NF,Devoicing,94,Place,0
34288,0.35,1,343,0,1812,b,A2SYRFPPV9WDEG,*DF,Devoicing,95,Voicing,0
34289,0.35,1,364,0,1374,n,A2SYRFPPV9WDEG,*NF,Devoicing,96,Place,0
34290,0.35,0,307,0,780,d,A2SYRFPPV9WDEG,*DF,Devoicing,97,Voicing,1
34291,0.35,0,400,0,1020,n,A2SYRFPPV9WDEG,*NF,Devoicing,98,Place,0
34292,0.35,1,292,0,1038,d,A2SYRFPPV9WDEG,*DF,Devoicing,99,Voicing,0
34293,0.35,0,376,0,1616,n,A2SYRFPPV9WDEG,*NF,Devoicing,100,Place,1
